name,member,plate,weld,bolt_group,a
FEP248,DWC 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP249,DWC 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP250,DWC 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP251,DWC 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP252,DWC 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP253,DWC 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP254,DWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP255,DWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP256,DWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP257,DWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP258,DWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP259,DWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP260,DWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP261,DWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP262,DWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP263,DWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP264,DWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP265,DWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP266,DWC 1200WB455 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP267,DWC 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP268,DWC 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP269,DWC 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP270,DWC 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP271,DWC 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP272,DWC 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP273,DWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP274,DWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP275,DWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP276,DWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP277,DWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP278,DWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP279,DWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP280,DWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP281,DWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP282,DWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP283,DWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP284,DWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP285,DWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP286,DWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP287,DWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP288,DWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP289,DWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP290,DWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP291,DWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP292,DWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP293,DWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP294,DWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP295,DWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP296,DWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP297,DWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP298,DWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP299,DWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP300,DWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP301,DWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP302,DWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP303,DWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP304,DWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP305,DWC 610UB125 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP306,DWC 610UB113 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP307,DWC 610UB101 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP308,DWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP309,DWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP310,DWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP311,DWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP312,DWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP313,DWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP314,DWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP315,DWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP316,DWC 610UB125 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP317,DWC 610UB113 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP318,DWC 610UB101 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP319,DWC 530UB92.4 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP320,DWC 530UB82.0 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP321,DWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP322,DWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP323,DWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP324,DWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP325,DWC 610UB125 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP326,DWC 610UB113 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP327,DWC 610UB101 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP328,DWC 530UB92.4 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP329,DWC 530UB82.0 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP330,DWC 460UB82.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px90g) 35 M20 8.8/S (TI),100
FEP331,DWC 460UB74.6 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px90g) 35 M20 8.8/S (TI),100
FEP332,DWC 460UB67.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px90g) 35 M20 8.8/S (TI),100
FEP333,DWC 530UB92.4 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px140g) 35 M20 8.8/S (TI),100
FEP334,DWC 530UB82.0 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px140g) 35 M20 8.8/S (TI),100
FEP335,DWC 460UB82.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP336,DWC 460UB74.6 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP337,DWC 460UB67.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP338,DWC 410UB59.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP339,DWC 410UB53.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP340,DWC 380PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP341,DWC 410UB59.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP342,DWC 410UB53.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP343,DWC 380PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP344,DWC 360UB56.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP345,DWC 360UB50.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP346,DWC 360UB44.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP347,DWC 310UB46.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP348,DWC 310UB40.4 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP349,DWC 310UB32.0 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP350,DWC 300PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP351,DWC 310UC158 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP352,DWC 310UC137 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP353,DWC 310UC118 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP354,DWC 310UC96.8 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP355,DWC 250UB37.3 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP356,DWC 250UB31.4 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP357,DWC 250UB25.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP358,DWC 250PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP359,DWC 250UC89.5 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP360,DWC 250UC72.9 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP361,DWC 200UB29.8 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP362,DWC 200UB25.4 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP363,DWC 200UB22.3 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP364,DWC 200UB18.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP365,DWC 230PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP366,DWC 200PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP367,DWC 200UC59.5 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP368,DWC 200UC52.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP369,DWC 200UC46.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
